date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-06-22,19.5,14.46,14.75,10,,,94,54.8,63,32,9.7,4.6,5.2,0.7,28,19.92,17.5,7,44,32,101.62,101.2,101.2,100.78,99.53,99.12,99.13,98.74,24100,24100,24100,24100,,,,,3.2,0,9.8,7.8,4.8,0,0,0,,5:36:00,1624354560,5.6,21:03:00,1624410180,21.05,15.45,6,8,19,19,9,11,,,,,,8,5.8,5,2,,,,
2021-06-23,23.7,17.55,16.25,8.8,,,79,53.1,57,35,9.9,7.5,6.9,3.9,31,14,17.5,4,40,18,102.18,102,101.92,101.66,100.1,99.91,99.83,99.57,24100,24100,24100,24100,,,,,1.8,0,11.2,9.2,6.2,0,0,0,,5:36:00,1624440960,5.6,21:03:00,1624496580,21.05,15.45,8,8,25,25,16,16,,,,,,6,3.4,3.5,1,,,,
2021-06-24,28.1,22.42,22,15.9,30,,70,50.5,51,32,13,11.3,11.2,9.3,30,16.08,17.5,5,53,19,102.24,102.07,102.06,101.88,100.16,100,99.99,99.82,24100,24100,24100,24100,,,,,0,4,17,15,12,0,0,0,,5:37:00,1624527420,5.62,21:03:00,1624582980,21.05,15.43,9,9,27,27,20,20,,,,,,8,5.8,5,2,,,,
2021-06-25,25.8,21.24,22.3,18.8,30,,100,74,75,50,20.7,16,15.9,11.1,18,11.71,12.5,7,31,18,101.96,101.79,101.7,101.45,99.9,99.72,99.64,99.39,24100,18562.5,15250,6400,,,,,0,4.3,17.3,15.3,12.3,16.4,16.4,0,,5:37:00,1624613820,5.62,21:04:00,1624669440,21.07,15.45,8,8,26,26,18,20,,,,,,8,7.7,6.5,5,,,,
2021-06-26,27.5,23.97,23.25,19,36,,100,82.5,83,66,21.8,20.7,20.4,18.9,33,23.79,23,13,51,23,101.5,101.36,101.38,101.26,99.44,99.31,99.32,99.2,24100,21633.3,16900,9700,,,,,0,5.2,18.2,16.2,13.2,5.6,5.6,0,,5:37:00,1624700220,5.62,21:04:00,1624755840,21.07,15.45,4,6,25,27,21,22,,,,,,8,7.8,7.5,7,,,,
2021-06-27,31.3,27.4,27.5,23.7,39,,73,63.4,63.5,54,21.1,19.9,19.8,18.5,36,27.96,28.5,21,58,22,101.61,101.39,101.42,101.22,99.57,99.35,99.38,99.19,24100,24100,24100,24100,,,,,0,9.5,22.5,20.5,17.5,0,0,0,,5:38:00,1624786680,5.63,21:04:00,1624842240,21.07,15.43,8,9,30,30,21,22,,,,,,8,4.9,4.5,1,,,,
2021-06-28,32.2,27.49,26.95,21.7,39,,86,63.6,66,46,21.4,19.7,19.6,17.7,30,18.38,20,10,42,27,102.14,101.91,101.88,101.63,100.1,99.87,99.85,99.6,24100,24100,24100,24100,,,,,0,8.9,21.9,19.9,16.9,3,3,0,,5:38:00,1624873080,5.63,21:04:00,1624928640,21.07,15.43,8,8,31,32,21,22,,,,,,6,3.5,3.5,1,,,,
2021-06-29,32.5,24.41,26.8,21.1,41,,96,82.3,77,58,23.2,21.1,21.1,19.1,24,10.33,12.5,1,64,24,102.21,102.01,102,101.79,100.16,99.96,99.95,99.73,24100,22562.5,15250,6400,,,,,0,8.8,21.8,19.8,16.8,23.2,23.2,0,,5:39:00,1624959540,5.65,21:04:00,1625015040,21.07,15.42,8,9,30,31,21,22,,,,,,8,6,5.5,3,,,,
2021-06-30,28,23.91,23.4,18.8,34,,93,74,73,53,22,18.7,19.1,16.2,32,18.96,21.5,11,58,28,101.77,101.51,101.56,101.36,99.73,99.47,99.53,99.32,24100,23500,21700,19300,,,,,0,5.4,18.4,16.4,13.4,0.4,0.4,0,,5:39:00,1625045940,5.65,21:03:00,1625101380,21.05,15.4,7,9,29,30,18,18,,,,,,8,6.4,4.5,1,,,,
2021-07-01,26.3,21.12,21.3,16.3,29,,85,68.8,66.5,48,16.5,14.9,14.6,12.7,30,17.96,18.5,7,45,34,101.37,101.19,101.19,101.02,99.33,99.15,99.16,98.98,24100,24100,24100,24100,,,,,0,3.3,16.3,14.3,11.3,0,0,0,,5:40:00,1625132400,5.67,21:03:00,1625187780,21.05,15.38,8,8,25,25,14,14,,,,,,7,4.4,4,1,,,,
